episode_id,prefix_episode_id,task_uid,benchmark,arm,run,plan_run_order,seed,model_call_seed_t1,invocation,attempt,start_utc,fork_t,n_decisions,success,restoration_transcript_hash_matches,restoration_tool_result_reproduced_stored,durable_rows_lost_invocation,durable_rows_recovery_invocation
branch:log:humaneval/120#2:large#0,log:humaneval/120#2,humaneval/120,humaneval,large,0,38,511208063,511208164,0445024c72d2,1,2026-09-20T01:15:17Z,1,3,0,1,1,2,0
branch:log:humaneval/120#2:large#1,log:humaneval/120#2,humaneval/120,humaneval,large,1,39,712435360,712435461,0445024c72d2,1,2026-09-20T01:15:18Z,1,3,0,1,1,2,0
branch:log:humaneval/120#7:small#0,log:humaneval/120#7,humaneval/120,humaneval,small,0,40,120376285,120376386,0445024c72d2,1,2026-09-20T01:15:18Z,1,3,0,1,1,2,0
branch:log:humaneval/120#7:small#1,log:humaneval/120#7,humaneval/120,humaneval,small,1,41,248514360,248514461,0445024c72d2,1,2026-09-20T01:15:21Z,1,3,0,1,1,2,0
branch:log:humaneval/120#7:large#0,log:humaneval/120#7,humaneval/120,humaneval,large,0,42,1427033264,1427033365,0445024c72d2,1,2026-09-20T01:15:23Z,1,3,0,1,1,2,0
branch:log:humaneval/120#7:large#1,log:humaneval/120#7,humaneval/120,humaneval,large,1,43,854131544,854131645,0445024c72d2,1,2026-09-20T01:15:23Z,1,3,0,1,1,2,0
branch:log:humaneval/129#0:small#0,log:humaneval/129#0,humaneval/129,humaneval,small,0,44,177246478,177246579,0445024c72d2,1,2026-09-20T01:15:27Z,1,3,0,1,1,2,0
branch:log:humaneval/129#0:small#1,log:humaneval/129#0,humaneval/129,humaneval,small,1,45,1897352723,1897352824,0445024c72d2,1,2026-09-20T01:16:07Z,1,3,0,1,1,2,0
branch:log:humaneval/129#0:large#0,log:humaneval/129#0,humaneval/129,humaneval,large,0,46,337587705,337587806,0445024c72d2,1,2026-09-20T01:16:22Z,1,3,0,1,1,2,0
branch:log:humaneval/129#0:large#1,log:humaneval/129#0,humaneval/129,humaneval,large,1,47,859154763,859154864,0445024c72d2,1,2026-09-20T01:16:23Z,1,3,0,1,1,2,0
branch:log:humaneval/129#3:small#0,log:humaneval/129#3,humaneval/129,humaneval,small,0,48,466055207,466055308,0445024c72d2,1,2026-09-20T01:16:26Z,1,3,0,1,1,2,0
branch:log:humaneval/129#3:small#1,log:humaneval/129#3,humaneval/129,humaneval,small,1,49,1383955506,1383955607,0445024c72d2,1,2026-09-20T01:16:28Z,1,3,0,1,1,2,0
branch:log:humaneval/129#3:large#0,log:humaneval/129#3,humaneval/129,humaneval,large,0,50,211823733,211823834,0445024c72d2,1,2026-09-20T01:16:51Z,1,3,0,1,1,2,0
branch:log:humaneval/129#3:large#1,log:humaneval/129#3,humaneval/129,humaneval,large,1,51,1126122832,1126122933,0445024c72d2,1,2026-09-20T01:17:01Z,1,3,0,1,1,2,0
branch:log:humaneval/129#6:small#0,log:humaneval/129#6,humaneval/129,humaneval,small,0,52,2058175640,2058175741,0445024c72d2,1,2026-09-20T01:17:08Z,1,3,0,1,1,2,0
branch:log:humaneval/129#6:small#1,log:humaneval/129#6,humaneval/129,humaneval,small,1,53,1569996209,1569996310,0445024c72d2,1,2026-09-20T01:17:36Z,1,3,0,1,1,2,0
branch:log:humaneval/129#6:large#0,log:humaneval/129#6,humaneval/129,humaneval,large,0,54,1813515736,1813515837,0445024c72d2,1,2026-09-20T01:17:41Z,1,3,0,1,1,2,0
branch:log:humaneval/129#6:large#1,log:humaneval/129#6,humaneval/129,humaneval,large,1,55,1315439098,1315439199,0445024c72d2,1,2026-09-20T01:17:46Z,1,3,0,1,1,2,0
branch:log:humaneval/134#6:small#0,log:humaneval/134#6,humaneval/134,humaneval,small,0,56,77658260,77658361,0445024c72d2,1,2026-09-20T01:17:55Z,1,3,0,1,1,2,0
branch:log:humaneval/134#6:small#1,log:humaneval/134#6,humaneval/134,humaneval,small,1,57,1541446993,1541447094,0445024c72d2,1,2026-09-20T01:18:02Z,1,3,0,1,1,2,0
branch:log:humaneval/134#6:large#0,log:humaneval/134#6,humaneval/134,humaneval,large,0,58,1366335583,1366335684,0445024c72d2,1,2026-09-20T01:18:07Z,1,2,0,1,1,1,0
branch:log:humaneval/134#6:large#1,log:humaneval/134#6,humaneval/134,humaneval,large,1,59,1809039275,1809039376,0445024c72d2,1,2026-09-20T01:18:15Z,1,3,0,1,1,2,0
branch:log:humaneval/140#3:small#0,log:humaneval/140#3,humaneval/140,humaneval,small,0,60,235865022,235865123,0445024c72d2,1,2026-09-20T01:18:24Z,1,3,0,1,1,2,0
branch:log:humaneval/140#3:small#1,log:humaneval/140#3,humaneval/140,humaneval,small,1,61,535469751,535469852,0445024c72d2,1,2026-09-20T01:18:26Z,1,3,0,1,1,2,0
branch:log:humaneval/140#3:large#0,log:humaneval/140#3,humaneval/140,humaneval,large,0,62,888935698,888935799,0445024c72d2,1,2026-09-20T01:18:29Z,1,2,0,1,1,1,0
branch:log:humaneval/140#3:large#1,log:humaneval/140#3,humaneval/140,humaneval,large,1,63,100724060,100724161,0445024c72d2,1,2026-09-20T01:18:31Z,1,3,0,1,1,2,0
branch:log:humaneval/140#5:small#0,log:humaneval/140#5,humaneval/140,humaneval,small,0,64,667002774,667002875,0445024c72d2,1,2026-09-20T01:18:35Z,1,3,0,1,1,2,0
branch:log:humaneval/140#5:small#1,log:humaneval/140#5,humaneval/140,humaneval,small,1,65,962884870,962884971,0445024c72d2,1,2026-09-20T01:18:38Z,1,3,0,1,1,2,0
branch:log:humaneval/140#5:large#0,log:humaneval/140#5,humaneval/140,humaneval,large,0,66,494312244,494312345,0445024c72d2,1,2026-09-20T01:18:45Z,1,3,0,1,1,2,0
branch:log:humaneval/140#5:large#1,log:humaneval/140#5,humaneval/140,humaneval,large,1,67,1046049389,1046049490,0445024c72d2,1,2026-09-20T01:18:50Z,1,3,0,1,1,2,0
branch:log:humaneval/153#6:small#0,log:humaneval/153#6,humaneval/153,humaneval,small,0,68,1503679795,1503679896,0445024c72d2,1,2026-09-20T01:18:52Z,1,3,1,1,1,2,0
branch:log:humaneval/153#6:small#1,log:humaneval/153#6,humaneval/153,humaneval,small,1,69,1541530807,1541530908,0445024c72d2,1,2026-09-20T01:19:01Z,1,3,1,1,1,2,0
branch:log:humaneval/153#6:large#0,log:humaneval/153#6,humaneval/153,humaneval,large,0,70,391810095,391810196,0445024c72d2,1,2026-09-20T01:19:09Z,1,3,1,1,1,2,0
branch:log:humaneval/153#6:large#1,log:humaneval/153#6,humaneval/153,humaneval,large,1,71,857809823,857809924,0445024c72d2,1,2026-09-20T01:19:16Z,1,3,1,1,1,2,0
branch:log:humaneval/156#7:small#0,log:humaneval/156#7,humaneval/156,humaneval,small,0,72,765684714,765684815,0445024c72d2,1,2026-09-20T01:19:28Z,1,3,0,1,1,2,0
branch:log:humaneval/156#7:small#1,log:humaneval/156#7,humaneval/156,humaneval,small,1,73,394253179,394253280,0445024c72d2,1,2026-09-20T01:19:29Z,1,3,0,1,1,2,0
branch:log:humaneval/156#7:large#0,log:humaneval/156#7,humaneval/156,humaneval,large,0,74,1411485039,1411485140,0445024c72d2,1,2026-09-20T01:19:32Z,1,3,0,1,1,2,0
branch:log:humaneval/156#7:large#1,log:humaneval/156#7,humaneval/156,humaneval,large,1,75,169997036,169997137,0445024c72d2,1,2026-09-20T01:19:36Z,1,3,0,1,1,2,0
branch:log:humaneval/158#3:small#0,log:humaneval/158#3,humaneval/158,humaneval,small,0,76,1797832377,1797832478,0445024c72d2,1,2026-09-20T01:19:50Z,1,3,0,1,1,2,0
branch:log:humaneval/158#3:small#1,log:humaneval/158#3,humaneval/158,humaneval,small,1,77,1500240230,1500240331,0445024c72d2,1,2026-09-20T01:19:58Z,1,3,0,1,1,2,0
branch:log:humaneval/158#3:large#0,log:humaneval/158#3,humaneval/158,humaneval,large,0,78,400491983,400492084,0445024c72d2,1,2026-09-20T01:20:02Z,1,2,1,1,1,1,0
branch:log:humaneval/158#3:large#1,log:humaneval/158#3,humaneval/158,humaneval,large,1,79,743790221,743790322,0445024c72d2,1,2026-09-20T01:20:05Z,1,2,1,1,1,1,0
branch:log:humaneval/158#4:small#0,log:humaneval/158#4,humaneval/158,humaneval,small,0,80,651732709,651732810,0445024c72d2,1,2026-09-20T01:20:05Z,1,3,0,1,1,2,0
branch:log:humaneval/158#4:small#1,log:humaneval/158#4,humaneval/158,humaneval,small,1,81,1018852647,1018852748,0445024c72d2,1,2026-09-20T01:20:14Z,1,3,0,1,1,2,0
branch:log:humaneval/158#4:large#0,log:humaneval/158#4,humaneval/158,humaneval,large,0,82,2012845264,2012845365,0445024c72d2,1,2026-09-20T01:20:15Z,1,2,1,1,1,1,0
branch:log:humaneval/158#4:large#1,log:humaneval/158#4,humaneval/158,humaneval,large,1,83,801642136,801642237,0445024c72d2,1,2026-09-20T01:20:25Z,1,2,1,1,1,1,0
branch:log:humaneval/159#0:small#0,log:humaneval/159#0,humaneval/159,humaneval,small,0,84,1246356561,1246356662,0445024c72d2,1,2026-09-20T01:20:28Z,1,3,0,1,1,2,0
branch:log:humaneval/159#0:small#1,log:humaneval/159#0,humaneval/159,humaneval,small,1,85,656193511,656193612,0445024c72d2,1,2026-09-20T01:20:31Z,1,2,1,1,1,1,0
branch:log:humaneval/159#0:large#0,log:humaneval/159#0,humaneval/159,humaneval,large,0,86,716306895,716306996,0445024c72d2,1,2026-09-20T01:20:36Z,1,2,1,1,1,1,0
branch:log:humaneval/159#0:large#1,log:humaneval/159#0,humaneval/159,humaneval,large,1,87,1602468069,1602468170,0445024c72d2,1,2026-09-20T01:20:40Z,1,2,1,1,1,1,0
branch:log:humaneval/160#0:small#0,log:humaneval/160#0,humaneval/160,humaneval,small,0,88,1013390971,1013391072,0445024c72d2,1,2026-09-20T01:20:42Z,1,3,0,1,1,2,0
branch:log:humaneval/160#0:small#1,log:humaneval/160#0,humaneval/160,humaneval,small,1,89,1164550254,1164550355,0445024c72d2,1,2026-09-20T01:20:45Z,1,3,0,1,1,2,0
branch:log:humaneval/160#0:large#0,log:humaneval/160#0,humaneval/160,humaneval,large,0,90,1938711166,1938711267,0445024c72d2,1,2026-09-20T01:20:48Z,1,3,0,1,1,2,0
branch:log:humaneval/160#0:large#1,log:humaneval/160#0,humaneval/160,humaneval,large,1,91,1427816869,1427816970,0445024c72d2,1,2026-09-20T01:20:52Z,1,3,0,1,1,2,0
branch:log:humaneval/160#2:small#0,log:humaneval/160#2,humaneval/160,humaneval,small,0,92,1626199484,1626199585,0445024c72d2,1,2026-09-20T01:21:27Z,1,3,0,1,1,2,0
branch:log:humaneval/160#2:small#1,log:humaneval/160#2,humaneval/160,humaneval,small,1,93,973150935,973151036,0445024c72d2,1,2026-09-20T01:21:29Z,1,3,0,1,1,2,0
branch:log:humaneval/160#2:large#0,log:humaneval/160#2,humaneval/160,humaneval,large,0,94,1151176218,1151176319,0445024c72d2,1,2026-09-20T01:21:45Z,1,3,0,1,1,2,0
branch:log:humaneval/160#2:large#1,log:humaneval/160#2,humaneval/160,humaneval,large,1,95,1229626978,1229627079,0445024c72d2,1,2026-09-20T01:21:45Z,1,3,0,1,1,2,0
branch:log:humaneval/160#5:small#0,log:humaneval/160#5,humaneval/160,humaneval,small,0,96,2134759556,2134759657,0445024c72d2,1,2026-09-20T01:21:46Z,1,3,0,1,1,2,0
branch:log:humaneval/160#5:small#1,log:humaneval/160#5,humaneval/160,humaneval,small,1,97,1302083422,1302083523,0445024c72d2,1,2026-09-20T01:21:55Z,1,3,0,1,1,2,0
branch:log:humaneval/160#5:large#0,log:humaneval/160#5,humaneval/160,humaneval,large,0,98,793275364,793275465,0445024c72d2,1,2026-09-20T01:21:56Z,1,3,0,1,1,2,0
