horizon,floor,n,policy,dr_rmse_shared_log,onpolicy_rmse_split_budget,rmse_ratio_separate_over_dr
2,0.5,1000,always_small,0.02720188752410481,0.03331863687661355,1.2248648865667287
2,0.5,1000,always_large,0.026517854073295325,0.03224757197928218,1.2160701952031985
2,0.5,1000,fixed_switch,0.027843983333744386,0.03412085638327975,1.2254301395852498
2,0.5,1000,failure_escalation,0.030275244323568037,0.03573802855752751,1.1804373294423562
2,0.5,1000,soft_escalation,0.024928068834811024,0.0355286586931717,1.4252471352115887
2,0.5,250,always_small,0.05443343043970617,0.0666372737532271,1.2241975788580632
2,0.5,250,always_large,0.05543291149607625,0.06449514395856436,1.163481084033076
2,0.5,250,fixed_switch,0.056466807211004055,0.0682417127665595,1.2085279146659598
2,0.5,250,failure_escalation,0.0626462506832889,0.07147605711505502,1.1409470851879968
2,0.5,250,soft_escalation,0.051313355156755745,0.0710573173863434,1.3847723885774448
2,0.5,4000,always_small,0.014369411763664694,0.016659318438306776,1.1593598062540367
2,0.5,4000,always_large,0.01432390355079828,0.01612378598964109,1.1256558613690542
2,0.5,4000,fixed_switch,0.014019644053724559,0.017060428191639877,1.2168945321480884
2,0.5,4000,failure_escalation,0.015312048615428273,0.017869014278763754,1.1669904352810836
2,0.5,4000,soft_escalation,0.012569417805799055,0.01776432934658585,1.413297705673373
5,0.05,1000,always_small,0.2835732717192112,0.03269668830683411,0.11530243350723737
5,0.05,1000,always_large,0.09533858465986653,0.031938139307846725,0.33499699436267505
5,0.05,1000,fixed_switch,0.06944124655601895,0.03215913602073749,0.46311288485863217
5,0.05,1000,failure_escalation,0.04751388869692443,0.036487183269192335,0.7679266898555105
5,0.05,1000,soft_escalation,0.02972975559430153,0.03617578628959067,1.2168208438459107
5,0.05,250,always_small,0.6515345212712429,0.06539337661366822,0.10036824524059876
5,0.05,250,always_large,0.17128491328128814,0.06387627861569345,0.3729241378707669
5,0.05,250,fixed_switch,0.1401399442203235,0.06431827204147499,0.4589574542741067
5,0.05,250,failure_escalation,0.0951659152308797,0.07297436653838467,0.766812007863775
5,0.05,250,soft_escalation,0.06060679704418723,0.07235157257918134,1.193786441583957
5,0.05,4000,always_small,0.1507033921860351,0.016348344153417054,0.10848026654394029
5,0.05,4000,always_large,0.045706875461958736,0.015969069653923362,0.34938003292774233
5,0.05,4000,fixed_switch,0.03391542844011151,0.016079568010368746,0.4741077659909957
5,0.05,4000,failure_escalation,0.02303250546046949,0.018243591634596167,0.792080204470482
5,0.05,4000,soft_escalation,0.014606246794789906,0.018087893144795336,1.23836693977041
5,0.2,1000,always_small,0.23479398451120503,0.03269668830683411,0.13925692506518936
5,0.2,1000,always_large,0.09537410187159161,0.031938139307846725,0.33487224184660874
5,0.2,1000,fixed_switch,0.07045211469210574,0.03215913602073749,0.45646800186596764
5,0.2,1000,failure_escalation,0.04830902627428161,0.036487183269192335,0.7552870774507228
5,0.2,1000,soft_escalation,0.03008495803362346,0.03617578628959067,1.2024542713059463
5,0.2,250,always_small,0.5092270703475764,0.06539337661366822,0.12841692914917802
5,0.2,250,always_large,0.17269585376656155,0.06387627861569345,0.3698773144955584
5,0.2,250,fixed_switch,0.14170781360010476,0.06431827204147499,0.45387950323599824
5,0.2,250,failure_escalation,0.09635613584770017,0.07297436653838467,0.7573401101692936
5,0.2,250,soft_escalation,0.0610580780692399,0.07235157257918134,1.1849631509385967
5,0.2,4000,always_small,0.12902725577065643,0.016348344153417054,0.12670457924390746
5,0.2,4000,always_large,0.04585641908513468,0.015969069653923362,0.348240660141299
5,0.2,4000,fixed_switch,0.03423288971681534,0.016079568010368746,0.4697110919756913
5,0.2,4000,failure_escalation,0.02352073600140217,0.018243591634596167,0.7756386379026825
5,0.2,4000,soft_escalation,0.014851743235869193,0.018087893144795336,1.2178969739464895
5,0.5,1000,always_small,0.07714919407820615,0.03269668830683411,0.423811145372296
