n,horizon,floor,policy,q_spec,behavior,method,bias,bias_mc_se,rmse,coverage_95,coverage_mc_se
1000,10,0.2,failure_escalation,correct,misspecified,ipw,1.0456254654694648,0.05147353811501957,1.9339617925363803,0.907,0.009184280047995052
1000,10,0.2,failure_escalation,correct,misspecified,gcomp,-1.8117338436812293e-05,0.0008400423825159651,0.02655119322095766,,
1000,10,0.2,failure_escalation,correct,misspecified,dr,0.0058324723622029066,0.03762031241313662,1.1890780613104401,0.959,0.006270486424512857
1000,10,0.2,failure_escalation,misspecified,misspecified,ipw,1.0456254654694648,0.05147353811501957,1.9339617925363803,0.907,0.009184280047995052
1000,10,0.2,failure_escalation,misspecified,misspecified,gcomp,0.014729357797025817,0.0006541042733672515,0.02538461205434639,,
1000,10,0.2,failure_escalation,misspecified,misspecified,dr,-0.5018327296977232,0.03848396304076407,1.3158155206971225,0.944,0.007270763371201131
1000,10,0.2,soft_escalation,correct,known,ipw,0.004011546380233042,0.008372605302638593,0.26466301505608764,0.775,0.013205112646244256
1000,10,0.2,soft_escalation,correct,known,gcomp,0.00010053395628486764,0.0007611002457226128,0.024056276052858823,,
1000,10,0.2,soft_escalation,correct,known,dr,-0.0056738486300863126,0.006967380465711885,0.22029080489595276,0.952,0.006759881655768837
1000,10,0.2,soft_escalation,misspecified,known,ipw,0.004011546380233042,0.008372605302638593,0.26466301505608764,0.775,0.013205112646244256
1000,10,0.2,soft_escalation,misspecified,known,gcomp,0.01877966787481696,0.0006357671308221635,0.02750402825546913,,
1000,10,0.2,soft_escalation,misspecified,known,dr,-0.003858032080921497,0.006442808383511811,0.2036741380203212,0.956,0.006485676526007139
1000,10,0.2,soft_escalation,correct,misspecified,ipw,0.6457354787176309,0.01827598434199744,0.8664016969858465,0.884,0.010126401137620413
1000,10,0.2,soft_escalation,correct,misspecified,gcomp,0.00010053395628486764,0.0007611002457226128,0.024056276052858823,,
1000,10,0.2,soft_escalation,correct,misspecified,dr,0.004724932779423631,0.013491496378818397,0.42645137947355766,0.962,0.006046155803483734
1000,10,0.2,soft_escalation,misspecified,misspecified,ipw,0.6457354787176309,0.01827598434199744,0.8664016969858465,0.884,0.010126401137620413
1000,10,0.2,soft_escalation,misspecified,misspecified,gcomp,0.01877966787481696,0.0006357671308221635,0.02750402825546913,,
1000,10,0.2,soft_escalation,misspecified,misspecified,dr,-0.27166207963842726,0.013932889463926533,0.5174278393347773,0.916,0.008771772910877251
1000,10,0.5,always_small,correct,known,ipw,-0.002201356622480941,0.018188947157400142,0.5749015627626868,0.25,0.013693063937629153
1000,10,0.5,always_small,correct,known,gcomp,-0.0008598365853124974,0.0006634083587140955,0.020985944313153034,,
1000,10,0.5,always_small,correct,known,dr,0.0002060588012883997,0.013343515182450345,0.42174801776308113,0.937,0.007683163410991592
1000,10,0.5,always_small,misspecified,known,ipw,-0.002201356622480941,0.018188947157400142,0.5749015627626868,0.25,0.013693063937629153
1000,10,0.5,always_small,misspecified,known,gcomp,0.06916855897120362,0.0006577330916268261,0.07222513244815847,,
1000,10,0.5,always_small,misspecified,known,dr,0.005349414783692261,0.013925660286632365,0.44018031151199744,0.609,0.015431104950715617
1000,10,0.5,always_small,correct,misspecified,ipw,-0.002201356622480941,0.018188947157400142,0.5749015627626868,0.25,0.013693063937629153
1000,10,0.5,always_small,correct,misspecified,gcomp,-0.0008598365853124974,0.0006634083587140955,0.020985944313153034,,
1000,10,0.5,always_small,correct,misspecified,dr,0.0002060588012883997,0.013343515182450345,0.42174801776308113,0.937,0.007683163410991592
1000,10,0.5,always_small,misspecified,misspecified,ipw,-0.002201356622480941,0.018188947157400142,0.5749015627626868,0.25,0.013693063937629153
1000,10,0.5,always_small,misspecified,misspecified,gcomp,0.06916855897120362,0.0006577330916268261,0.07222513244815847,,
1000,10,0.5,always_small,misspecified,misspecified,dr,0.005349414783692261,0.013925660286632365,0.44018031151199744,0.609,0.015431104950715617
1000,10,0.5,always_large,correct,known,ipw,-0.050560407040438765,0.022360605070522573,0.7085569964518414,0.481,0.01579996835439869
1000,10,0.5,always_large,correct,known,gcomp,-0.0008378100218861706,0.0006527232884038727,0.02064760444134654,,
1000,10,0.5,always_large,correct,known,dr,-0.04065150342342908,0.014199513750553403,0.4506407763307578,0.909,0.009094998625618366
1000,10,0.5,always_large,misspecified,known,ipw,-0.050560407040438765,0.022360605070522573,0.7085569964518414,0.481,0.01579996835439869
1000,10,0.5,always_large,misspecified,known,gcomp,-0.05013694886409301,0.0006397690504983177,0.05406115772843032,,
1000,10,0.5,always_large,misspecified,known,dr,-0.04540705015881525,0.01443600747285778,0.458532129352758,0.625,0.015309310892394862
1000,10,0.5,always_large,correct,misspecified,ipw,-0.050560407040438765,0.022360605070522573,0.7085569964518414,0.481,0.01579996835439869
1000,10,0.5,always_large,correct,misspecified,gcomp,-0.0008378100218861706,0.0006527232884038727,0.02064760444134654,,
1000,10,0.5,always_large,correct,misspecified,dr,-0.04065150342342908,0.014199513750553403,0.4506407763307578,0.909,0.009094998625618366
1000,10,0.5,always_large,misspecified,misspecified,ipw,-0.050560407040438765,0.022360605070522573,0.7085569964518414,0.481,0.01579996835439869
1000,10,0.5,always_large,misspecified,misspecified,gcomp,-0.05013694886409301,0.0006397690504983177,0.05406115772843032,,
1000,10,0.5,always_large,misspecified,misspecified,dr,-0.04540705015881525,0.01443600747285778,0.458532129352758,0.625,0.015309310892394862
1000,10,0.5,fixed_switch,correct,known,ipw,-0.026781253719666605,0.023811614390423168,0.7530891198584181,0.485,0.01580427157448264
1000,10,0.5,fixed_switch,correct,known,gcomp,-0.0008365591172135003,0.0006514372967247482,0.020606940873625,,
1000,10,0.5,fixed_switch,correct,known,dr,0.008154418947137703,0.012824168595413526,0.40541501626332543,0.907,0.009184280047995052
1000,10,0.5,fixed_switch,misspecified,known,ipw,-0.026781253719666605,0.023811614390423168,0.7530891198584181,0.485,0.01580427157448264
1000,10,0.5,fixed_switch,misspecified,known,gcomp,-0.04957311554332075,0.0006397690504983179,0.0535386675049816,,
