n,horizon,floor,policy,q_spec,behavior,method,bias,bias_mc_se,rmse,coverage_95,coverage_mc_se
1000,10,0.5,fixed_switch,misspecified,known,dr,0.006243197319194658,0.013288974667430047,0.4200705040545602,0.61,0.01542400726140908
1000,10,0.5,fixed_switch,correct,misspecified,ipw,-0.026781253719666605,0.023811614390423168,0.7530891198584181,0.485,0.01580427157448264
1000,10,0.5,fixed_switch,correct,misspecified,gcomp,-0.0008365591172135003,0.0006514372967247482,0.020606940873625,,
1000,10,0.5,fixed_switch,correct,misspecified,dr,0.008154418947137703,0.012824168595413526,0.40541501626332543,0.907,0.009184280047995052
1000,10,0.5,fixed_switch,misspecified,misspecified,ipw,-0.026781253719666605,0.023811614390423168,0.7530891198584181,0.485,0.01580427157448264
1000,10,0.5,fixed_switch,misspecified,misspecified,gcomp,-0.04957311554332075,0.0006397690504983179,0.0535386675049816,,
1000,10,0.5,fixed_switch,misspecified,misspecified,dr,0.006243197319194658,0.013288974667430047,0.4200705040545602,0.61,0.01542400726140908
1000,10,0.5,failure_escalation,correct,known,ipw,-0.019177134530534795,0.021603199875814154,0.6830807486075892,0.4,0.015491933384829668
1000,10,0.5,failure_escalation,correct,known,gcomp,-0.0007709054106231659,0.0007332395528658907,0.023188292235462545,,
1000,10,0.5,failure_escalation,correct,known,dr,-0.0030739105557629045,0.015052664527358763,0.4757789146125923,0.948,0.007021111023192843
1000,10,0.5,failure_escalation,misspecified,known,ipw,-0.019177134530534795,0.021603199875814154,0.6830807486075892,0.4,0.015491933384829668
1000,10,0.5,failure_escalation,misspecified,known,gcomp,-0.024343425334363376,0.0005198606104504049,0.02936983412028904,,
1000,10,0.5,failure_escalation,misspecified,known,dr,-0.007420759227835523,0.015172386123729746,0.47961043259543146,0.958,0.006343185319695463
1000,10,0.5,failure_escalation,correct,misspecified,ipw,-0.019177134530534795,0.021603199875814154,0.6830807486075892,0.4,0.015491933384829668
1000,10,0.5,failure_escalation,correct,misspecified,gcomp,-0.0007709054106231659,0.0007332395528658907,0.023188292235462545,,
1000,10,0.5,failure_escalation,correct,misspecified,dr,-0.0030739105557629045,0.015052664527358763,0.4757789146125923,0.948,0.007021111023192843
1000,10,0.5,failure_escalation,misspecified,misspecified,ipw,-0.019177134530534795,0.021603199875814154,0.6830807486075892,0.4,0.015491933384829668
1000,10,0.5,failure_escalation,misspecified,misspecified,gcomp,-0.024343425334363376,0.0005198606104504049,0.02936983412028904,,
1000,10,0.5,failure_escalation,misspecified,misspecified,dr,-0.007420759227835523,0.015172386123729746,0.47961043259543146,0.958,0.006343185319695463
1000,10,0.5,soft_escalation,correct,known,ipw,-0.004697031905075145,0.007831552970302375,0.24757615154421195,0.681,0.01473902981881779
1000,10,0.5,soft_escalation,correct,known,gcomp,-0.0008026270194305009,0.0006631100476844783,0.020974256376260183,,
1000,10,0.5,soft_escalation,correct,known,dr,-0.0017204201796634725,0.005554518416519999,0.1755698778555563,0.971,0.005306505441436956
1000,10,0.5,soft_escalation,misspecified,known,ipw,-0.004697031905075145,0.007831552970302375,0.24757615154421195,0.681,0.01473902981881779
1000,10,0.5,soft_escalation,misspecified,known,gcomp,-0.01925293038597732,0.0005076696981292989,0.02506284346046122,,
1000,10,0.5,soft_escalation,misspecified,known,dr,-0.0031837295162516566,0.005588161390287329,0.1766534922094855,0.974,0.005032295698784007
1000,10,0.5,soft_escalation,correct,misspecified,ipw,-0.004697031905075145,0.007831552970302375,0.24757615154421195,0.681,0.01473902981881779
1000,10,0.5,soft_escalation,correct,misspecified,gcomp,-0.0008026270194305009,0.0006631100476844783,0.020974256376260183,,
1000,10,0.5,soft_escalation,correct,misspecified,dr,-0.0017204201796634725,0.005554518416519999,0.1755698778555563,0.971,0.005306505441436956
1000,10,0.5,soft_escalation,misspecified,misspecified,ipw,-0.004697031905075145,0.007831552970302375,0.24757615154421195,0.681,0.01473902981881779
1000,10,0.5,soft_escalation,misspecified,misspecified,gcomp,-0.01925293038597732,0.0005076696981292989,0.02506284346046122,,
1000,10,0.5,soft_escalation,misspecified,misspecified,dr,-0.0031837295162516566,0.005588161390287329,0.1766534922094855,0.974,0.005032295698784007
